Date,dataset,Open,High,Low,Close,return,garch_omega,garch_alpha,garch_beta,garch_vol,std5,std14,std25,vol_regime,ema_5,ema_20,feat,ema_gamma,ema_beta,direction_signal,predicted_next,close_delta,target,next_actual,error_inr,error_pct
1900-01-01,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***
2004-01-26,train,45.25,45.279999,45.185001,45.227001,-0.00037569623321764833,2.8065599500677346e-07,0.06888888888888889,0.92,0.002391899593691515,0.04656438124573237,0.056994147292800744,0.10178380618291548,low,45.274200140184334,45.36045532948519,-0.08625518930085718,0.2696598224735318,0.36411471787154603,-1,45.227001,0.043998999999999455,1,45.271,-0.043998999999999455,-0.09719025424664675
2004-01-27,train,45.227001,45.292999,45.188,45.271,0.0009728480559654251,2.8065599500677346e-07,0.06888888888888889,0.92,0.0023566646926211424,0.040049363300776845,0.056533709882112405,0.10511827545395878,low,45.273133426789556,45.35193577429612,-0.07880234750656712,0.2696598224735318,0.36411471787154603,-1,45.271,-0.018002000000002738,-1,45.252998,0.018002000000002738,0.03978078977221076
2004-01-28,train,45.27,45.332001,45.207001,45.252998,-0.00039764970952715917,2.8065599500677346e-07,0.06888888888888889,0.92,0.0023356827121374627,0.036002399938022525,0.040820264325874704,0.1085475174500731,low,45.266421617859706,45.34251312912507,-0.07609151126536062,0.2696598224735318,0.36411471787154603,-1,45.252998,0.018002000000002738,1,45.271,-0.018002000000002738,-0.03976497095271308
2004-01-29,train,45.262001,45.299999,45.174999,45.271,0.0003978078977220356,2.8065599500677346e-07,0.06888888888888889,0.92,0.002304458657446068,0.018740109425958475,0.03970651510671961,0.11045173020181022,low,45.26794774523981,45.335702354922674,-0.06775460968286495,0.2696598224735318,0.36411471787154603,-1,45.271,-0.26699800000000096,-1,45.004002,0.26699800000000096,0.5932761268653418
2004-01-30,train,45.261002,45.292999,45.004002,45.004002,-0.005897771200106039,2.8065599500677346e-07,0.06888888888888889,0.92,0.0022753560307427283,0.11390769026802064,0.08704556897501702,0.1331777187992511,medium,45.17996583015987,45.30411184493004,-0.12414601477016873,0.2696598224735318,0.36411471787154603,-1,44.952801936320874,0.17099699999999984,1,45.174999,-0.2221970636791255,-0.49185848057047105
2004-02-02,train,45.151001,45.216999,45.127998,45.174999,0.003799595422647073,2.8065599500677346e-07,0.06888888888888889,0.92,0.0027276239209383115,0.1137935011421782,0.09035385857583365,0.1327464824315561,medium,45.17831022010658,45.29181538350813,-0.11350516340154826,0.2696598224735318,0.36411471787154603,-1,45.11338879604962,0.033000999999998726,1,45.208,-0.09461120395037881,-0.209279782229647
2004-02-03,train,45.207001,45.230999,45.174999,45.208,0.0007305146813616492,2.8065599500677346e-07,0.06888888888888889,0.92,0.002849550388546652,0.10650096056935049,0.08978289419022858,0.1319696035124907,medium,45.18820681340439,45.28383296603117,-0.0956261526267781,0.2696598224735318,0.36411471787154603,-1,45.14358876301729,0.0010000000000047748,1,45.209,-0.06541123698271178,-0.14468631684556565
2004-02-04,train,45.209999,45.230999,45.174999,45.209,2.211997876488958e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.002790656032399694,0.10085697695843418,0.08662595403977012,0.12819412319291348,medium,45.19513787560293,45.27670601688534,-0.08156814128241052,0.2696598224735318,0.36411471787154603,-1,45.14591861571562,-0.0029990000000026384,-1,45.206001,-0.060082384284378065,-0.13290798335463927
2004-02-05,train,45.207001,45.244999,45.150002,45.206001,-6.633634895714113e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.0027286315078743975,0.08857290274849174,0.08431167218805935,0.12324059936253032,medium,45.19875891706862,45.269972205753405,-0.07121328868478116,0.2696598224735318,0.36411471787154603,-1,45.1443257406632,-0.03800199999999876,-1,45.167999,-0.0236732593368032,-0.052411574258145015
2004-02-06,train,45.192001,45.224998,45.105,45.167999,-0.0008406406043303116,2.8065599500677346e-07,0.06888888888888889,0.92,0.0026703472910161175,0.019993201361832226,0.08194679700640323,0.11074106435543479,low,45.188505611379085,45.26026047187213,-0.07175486049304425,0.2696598224735318,0.36411471787154603,-1,45.167999,0.02400199999999586,1,45.192001,-0.02400199999999586,-0.053111168943362035
2004-02-09,train,45.166,45.205002,45.099998,45.192001,0.000531393918955736,2.8065599500677346e-07,0.06888888888888889,0.92,0.002624810935061346,0.017401629254034535,0.07709811645982623,0.10671311496069173,low,45.1896707409194,45.25375956978907,-0.06408882886967149,0.2696598224735318,0.36411471787154603,-1,45.192001,-0.008002999999995097,-1,45.183998,0.008002999999995097,0.01771202273865871
2004-02-10,train,45.193001,45.203999,45.080002,45.183998,-0.00017708886136724722,2.8065599500677346e-07,0.06888888888888889,0.92,0.0025765423835131104,0.016769821158696883,0.07311658709970775,0.09322859655051882,low,45.1877798272796,45.24711561076154,-0.05933578348194146,0.2696598224735318,0.36411471787154603,-1,45.183998,0.004001999999999839,1,45.188,-0.004001999999999839,-0.008856333539877487
2004-02-11,train,45.191002,45.202,45.119999,45.188,8.857117955796134e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.0025279045441431434,0.013741353706766908,0.06578820564027812,0.0913489838553161,low,45.187853218186405,45.24148555259377,-0.05363233440736792,0.2696598224735318,0.36411471787154603,-1,45.188,0.01200099999999793,1,45.200001,-0.01200099999999793,-0.026550884368338683
2004-02-12,train,45.189999,45.203999,45.098999,45.200001,0.0002655793573513865,2.8065599500677346e-07,0.06888888888888889,0.92,0.002481989865375656,0.011866810931941557,0.06456418768218067,0.0814269125334986,low,45.19190247879094,45.237534642822936,-0.04563216403199988,0.2696598224735318,0.36411471787154603,-1,45.200001,0.16199900000000156,1,45.362,-0.16199900000000156,-0.35712490630924904
2004-02-13,train,45.188,45.362,45.095001,45.362,0.0035840485932732147,2.8065599500677346e-07,0.06888888888888889,0.92,0.002439870219871088,0.07670209906838657,0.07807919599650656,0.08201235052050442,low,45.24860165252729,45.24938848636361,-0.0007868338363152816,0.2696598224735318,0.36411471787154603,-1,45.362,-0.1800010000000043,-1,45.181999,0.1800010000000043,0.3983909609665662
2004-02-16,train,45.179001,45.224998,45.139999,45.181999,-0.003968101053745565,2.8065599500677346e-07,0.06888888888888889,0.92,0.0025772642434364443,0.07790537979688249,0.0760196982948503,0.08085847832934728,medium,45.22640076835153,45.242970440043266,-0.016569671691733845,0.2696598224735318,0.36411471787154603,-1,45.12377602476516,0.018002000000002738,1,45.200001,-0.07622497523484384,-0.1686393220098465
2004-02-17,train,45.181999,45.226002,45.146999,45.200001,0.00039843301311215384,2.8065599500677346e-07,0.06888888888888889,0.92,0.0027342779948210747,0.07620233461447697,0.07448936299201052,0.08010258958232097,medium,45.21760084556769,45.238878112420096,-0.02127726685240816,0.2696598224735318,0.36411471787154603,-1,45.13820631594991,-0.030003000000000668,-1,45.169998,-0.03179168405009136,-0.07038230121261321
2004-02-18,train,45.213001,45.220001,45.134998,45.169998,-0.00066378317115523,2.8065599500677346e-07,0.06888888888888889,0.92,0.00267764188955867,0.07884954281222342,0.07153656331954263,0.07920678422902408,medium,45.201733230378466,45.232318101713425,-0.03058487133495902,0.2696598224735318,0.36411471787154603,-1,45.109523460601956,0.024002000000002965,1,45.194,-0.08447653939804667,-0.18691981103254118
2004-02-19,train,45.175999,45.219002,45.145,45.194,0.0005313704020974974,2.8065599500677346e-07,0.06888888888888889,0.92,0.002628154066822662,0.07932755259868142,0.047793790587184914,0.07590930180952321,medium,45.19915548691898,45.2286687586931,-0.029513271774114003,0.2696598224735318,0.36411471787154603,-1,45.13461160255201,-0.022999000000005765,-1,45.171001,-0.03638939744798364,-0.080559200908529
2004-02-20,train,45.192001,45.209,45.125,45.171001,-0.0005088949860602154,2.8065599500677346e-07,0.06888888888888889,0.92,0.0025796754404606025,0.013446791501877527,0.047983695502954705,0.07400189556947481,low,45.189770657945985,45.223176591198516,-0.03340593325253138,0.2696598224735318,0.36411471787154603,-1,45.171001,0.0010000000000047748,1,45.172001,-0.0010000000000047748,-0.0022137606877427785
2004-02-23,train,45.173,45.286999,45.143002,45.172001,2.2138096961832332e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.002533938393360055,0.01441564433852496,0.048622470511053964,0.07107555963814143,low,45.18384743863066,45.21830272537009,-0.03445528673942988,0.2696598224735318,0.36411471787154603,-1,45.172001,0.04000099999999662,1,45.212002,-0.04000099999999662,-0.08847429494494985
2004-02-24,train,45.172001,45.230999,45.154999,45.212002,0.0008855264126996776,2.8065599500677346e-07,0.06888888888888889,0.92,0.002487542167676078,0.018660913758307335,0.04867248654605935,0.0671567076919702,low,45.19323229242044,45.217702656287216,-0.024470363866775813,0.2696598224735318,0.36411471787154603,-1,45.212002,-0.02600100000000083,-1,45.186001,0.02600100000000083,0.05754215780237076
2004-02-25,train,45.209999,45.247002,45.115002,45.186001,-0.0005750906584495175,2.8065599500677346e-07,0.06888888888888889,0.92,0.0024550992758829637,0.017000264718385668,0.04877845815053378,0.06429714561853542,low,45.19082186161363,45.21468345092653,-0.023861589312900833,0.2696598224735318,0.36411471787154603,-1,45.186001,-0.018001999999995633,-1,45.167999,0.018001999999995633,0.03985565090008887
2004-02-26,train,45.188999,45.202,45.125,45.167999,-0.00039839772499439263,2.8065599500677346e-07,0.06888888888888889,0.92,0.0024184191168429552,0.018254558367563747,0.04877845815053378,0.06012026442632184,low,45.18321424107575,45.21023731274305,-0.02702307166729412,0.2696598224735318,0.36411471787154603,-1,45.167999,0.027999999999998693,1,45.195999,-0.027999999999998693,-0.06195238653757536
2004-02-27,train,45.166,45.195999,45.115002,45.195999,0.0006199079131221641,2.8065599500677346e-07,0.06888888888888889,0.92,0.002381688693693006,0.017978381512115053,0.04874827538684544,0.05944182327865433,low,45.187475827383835,45.208881282958,-0.02140545557416118,0.2696598224735318,0.36411471787154603,-1,45.195999,-0.02299899999999866,-1,45.173,0.02299899999999866,0.05091315608881115
2004-03-01,train,45.165001,45.195,45.105,45.173,-0.0005088724778491427,2.8065599500677346e-07,0.06888888888888889,0.92,0.0023506966561396194,0.01777721861527174,0.04909477156093399,0.05935392153276266,low,45.18265055158923,45.20546401791438,-0.022813466325153797,0.2696598224735318,0.36411471787154603,-1,45.173,0.006000999999997703,1,45.179001,-0.006000999999997703,-0.013282719553709703
